City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Kieta,PG,81.84,overcast clouds,-6.2167,155.6333,
639,Kirakira,SB,82.49,overcast clouds,-10.4544,161.9205,SanBiz Lodge
640,Pitimbu,BR,82.4,few clouds,-7.4706,-34.8086,Reserva do Abiaí
642,Amatitan,MX,81.0,overcast clouds,20.8333,-103.7167,CASA MARTINEZ ARAIZA
643,Almeirim,BR,89.44,few clouds,-1.5233,-52.5817,Ricácio Hotel
645,Buchanan,LR,78.8,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
653,Jatai,BR,76.06,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
654,Tucuma,BR,81.46,clear sky,-0.1833,-50.05,
655,Mtambile,TZ,78.66,clear sky,-5.3833,39.7,
658,Arraias,BR,72.19,overcast clouds,-12.9288,-46.9437,Hotel Japão
659,Alvaraes,BR,82.4,light rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
660,Iturama,BR,78.01,moderate rain,-19.7281,-50.1956,República DominaCana
662,Bubaque,GW,77.79,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
663,Auki,SB,80.69,overcast clouds,-8.7676,160.7034,Auki Motel
664,Kavaratti,IN,81.68,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
665,Santa Maria,BR,78.8,scattered clouds,-29.6842,-53.8069,Hotel Morotin
666,Dogbo,BJ,80.17,clear sky,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
671,Am Timan,TD,74.7,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
676,Champerico,GT,91.4,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
686,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
687,Labuhan,ID,78.13,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
693,Payo,ID,71.94,overcast clouds,-3.7508,103.6372,Mess keban agung
