City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
104,Suhbaatar,50.2314,106.2078,-8.86,82,81,3.56,MN,broken clouds
105,Aasiaat,68.7098,-52.8699,5.34,85,0,11.56,GL,clear sky
106,Hamilton,39.1834,-84.5333,36.0,64,90,13.8,US,light snow
107,Vostok,46.4856,135.8833,-17.75,87,18,4.05,RU,few clouds
108,Poletayevo,55.0336,61.1138,17.6,73,20,13.42,RU,snow
109,Waipawa,-41.4122,175.5153,68.0,77,75,24.16,NZ,broken clouds
110,Rio Branco,-9.9747,-67.81,87.8,62,40,6.91,BR,scattered clouds
111,Atuona,-9.8,-139.0333,78.03,77,4,14.74,PF,clear sky
112,Marsa Matruh,31.3525,27.2453,64.4,52,40,19.57,EG,scattered clouds
113,Ambanja,-13.6833,48.45,76.32,88,53,3.22,MG,broken clouds
114,Cape Town,-33.9258,18.4232,69.01,88,0,6.91,ZA,clear sky
115,Lodja,-3.4833,23.4333,71.78,80,53,0.49,CD,broken clouds
116,Pevek,69.7008,170.3133,-17.95,85,72,7.14,RU,broken clouds
117,Upata,8.0086,-62.3989,84.99,66,73,7.0,VE,light rain
118,Fortuna,40.5982,-124.1573,48.2,100,90,14.97,US,overcast clouds
119,Ramsgate,51.3358,1.4155,45.0,91,100,3.0,GB,overcast clouds
120,Taseyevo,57.2169,94.8978,6.71,94,100,5.48,RU,overcast clouds
121,Belaya Gora,68.5333,146.4167,-24.77,86,100,1.43,RU,overcast clouds
122,Ilulissat,69.2167,-51.1,15.8,45,1,14.97,GL,clear sky
123,Galveston,29.3669,-94.9669,60.8,23,40,8.05,US,scattered clouds
124,Bowen,-20.0167,148.2333,71.6,94,40,4.61,AU,scattered clouds
125,Thompson,55.7435,-97.8558,15.8,86,90,5.75,CA,light snow
126,Parkhill,43.1501,-81.6831,32.0,90,97,11.01,CA,overcast clouds
127,Guerrero Negro,27.9769,-114.0611,78.57,16,0,9.37,MX,clear sky
128,Mahanoro,-19.9,48.8,77.92,89,88,5.75,MG,overcast clouds
129,Ilebo,-4.3167,20.5833,73.0,87,94,0.85,CD,light rain
130,Shimoda,34.6667,138.95,37.99,69,100,1.01,JP,overcast clouds
131,Itarema,-2.9248,-39.9167,80.47,77,0,15.28,BR,clear sky
132,Vila Franca Do Campo,37.7167,-25.4333,62.01,94,75,11.5,PT,moderate rain
