City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Samokov,42.3333,23.55,32.0,92,92,1.01,BG,2021-01-13 00:00:37
93,Takoradi,4.8845,-1.7554,78.69,86,52,9.15,GH,2021-01-13 00:00:37
94,Maraa,-1.8333,-65.3667,75.29,97,54,2.39,BR,2021-01-13 00:00:37
95,Neiafu,-18.65,-173.9833,84.2,79,40,6.91,TO,2021-01-13 00:00:38
96,Sale,34.0389,-6.8166,44.6,87,0,3.44,MA,2021-01-13 00:00:38
97,Mar Del Plata,-38.0023,-57.5575,68.0,48,0,10.36,AR,2021-01-13 00:00:38
98,Shimoda,34.6667,138.95,44.6,76,20,6.91,JP,2021-01-13 00:00:38
99,Faanui,-16.4833,-151.75,81.45,75,100,18.3,PF,2021-01-13 00:00:38
100,Sao Joao Da Barra,-21.6403,-41.0511,76.95,82,37,17.76,BR,2021-01-13 00:00:39
101,Chokurdakh,70.6333,147.9167,-38.49,83,37,1.81,RU,2021-01-13 00:00:39
102,Nome,64.5011,-165.4064,12.2,79,75,10.36,US,2021-01-13 00:00:39
103,Birjand,32.8663,59.2211,24.8,15,0,9.22,IR,2021-01-13 00:00:40
104,Guerrero Negro,27.9769,-114.0611,69.58,33,0,10.07,MX,2021-01-13 00:00:40
105,Elko,41.0002,-115.5012,37.99,48,1,0.98,US,2021-01-13 00:00:40
106,Sitka,57.0531,-135.33,42.8,61,40,19.57,US,2021-01-13 00:00:40
107,Gladstone,-23.85,151.25,82.4,57,90,12.66,AU,2021-01-13 00:00:41
108,Ilulissat,69.2167,-51.1,17.6,79,40,4.61,GL,2021-01-13 00:00:41
109,Deputatskiy,69.3,139.9,-36.85,77,75,1.05,RU,2021-01-13 00:00:41
110,Necochea,-38.5473,-58.7368,60.01,64,0,14.29,AR,2021-01-13 00:00:42
111,Nanortalik,60.1432,-45.2371,31.87,97,100,5.03,GL,2021-01-13 00:00:42
112,Souillac,-20.5167,57.5167,77.0,94,75,14.97,MU,2021-01-13 00:00:42
113,Kaura Namoda,12.5898,6.5779,68.04,22,0,10.6,NG,2021-01-13 00:00:43
114,Batagay-Alyta,67.8006,130.4114,-40.67,72,1,1.07,RU,2021-01-13 00:00:43
115,Palmeiras De Goias,-16.805,-49.9258,72.03,88,83,1.36,BR,2021-01-13 00:00:43
116,Manado,1.487,124.8455,78.8,94,20,2.3,ID,2021-01-13 00:00:43
117,Muros,42.7762,-9.0603,35.01,93,15,4.32,ES,2021-01-13 00:00:43
118,Keetmanshoop,-26.5833,18.1333,73.4,78,47,6.91,NA,2021-01-13 00:00:44
